                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2878,                0.76205,                      1,                 1.2346,             0.00023584,             0.00023584,             0.00023584
                      2,                0.66862,                0.82681,                      1,                 1.1039,             0.00046445,             0.00046445,             0.00046445
                      3,                 0.5335,                0.87048,                      1,                 1.0531,             0.00068365,             0.00068365,             0.00068365
                      4,                0.42999,                0.89006,                      1,                 1.0358,             0.00067159,             0.00067159,             0.00067159
                      5,                0.40446,                 0.9006,                      1,                  1.016,             0.00065745,             0.00065745,             0.00065745
                      6,                 0.3078,                0.90361,                      1,                 1.0231,             0.00064331,             0.00064331,             0.00064331
                      7,                 0.2944,                 0.9262,                      1,                0.99186,             0.00062918,             0.00062918,             0.00062918
                      8,                0.26622,                0.94729,                      1,                0.97326,             0.00061504,             0.00061504,             0.00061504
                      9,                0.25722,                0.94428,                      1,                0.97561,              0.0006009,              0.0006009,              0.0006009
                     10,                0.20479,                0.96084,                      1,                0.95859,             0.00058677,             0.00058677,             0.00058677
                     11,                0.19854,                0.94428,                      1,                 0.9662,             0.00057263,             0.00057263,             0.00057263
                     12,                0.20885,                0.96536,                      1,                0.95518,             0.00055849,             0.00055849,             0.00055849
                     13,                0.19625,                0.97139,                      1,                0.94839,             0.00054435,             0.00054435,             0.00054435
                     14,                0.15742,                0.95633,                      1,                0.95475,             0.00053022,             0.00053022,             0.00053022
                     15,                0.14642,                0.96988,                      1,                0.94644,             0.00051608,             0.00051608,             0.00051608
                     16,                0.15299,                0.96687,                      1,                0.94661,             0.00050194,             0.00050194,             0.00050194
                     17,                0.15114,                0.96837,                      1,                0.94087,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.1266,                0.97139,                      1,                0.94054,             0.00047367,             0.00047367,             0.00047367
                     19,                0.12706,                0.97741,                      1,                0.93642,             0.00045953,             0.00045953,             0.00045953
                     20,                0.13538,                 0.9744,                      1,                 0.9382,             0.00044539,             0.00044539,             0.00044539
                     21,                0.11589,                0.96687,                      1,                0.94056,             0.00043126,             0.00043126,             0.00043126
                     22,                 0.0999,                 0.9759,                      1,                0.93292,             0.00041712,             0.00041712,             0.00041712
                     23,                0.09557,                0.97741,                      1,                0.93379,             0.00040298,             0.00040298,             0.00040298
                     24,                0.09702,                 0.9744,                      1,                0.93857,             0.00038884,             0.00038884,             0.00038884
                     25,                0.10436,                0.98042,                      1,                0.93035,             0.00037471,             0.00037471,             0.00037471
                     26,                0.08679,                0.97892,                      1,                0.93065,             0.00036057,             0.00036057,             0.00036057
                     27,                0.08576,                0.98042,                      1,                0.93331,             0.00034643,             0.00034643,             0.00034643
                     28,                 0.0861,                 0.9744,                      1,                0.93605,              0.0003323,              0.0003323,              0.0003323
                     29,                0.08623,                0.97892,                      1,                0.92969,             0.00031816,             0.00031816,             0.00031816
                     30,                0.07532,                0.97892,                      1,                0.93219,             0.00030402,             0.00030402,             0.00030402
                     31,                0.07301,                0.97892,                      1,                0.93061,             0.00028988,             0.00028988,             0.00028988
                     32,                0.06186,                0.97741,                      1,                0.93134,             0.00027575,             0.00027575,             0.00027575
                     33,                0.06916,                0.97892,                      1,                0.93062,             0.00026161,             0.00026161,             0.00026161
                     34,                  0.069,                0.97892,                      1,                0.92918,             0.00024747,             0.00024747,             0.00024747
                     35,                0.05909,                 0.9744,                      1,                0.93179,             0.00023334,             0.00023334,             0.00023334
                     36,                0.05538,                0.97289,                      1,                0.93446,              0.0002192,              0.0002192,              0.0002192
                     37,                0.05489,                 0.9744,                      1,                 0.9311,             0.00020506,             0.00020506,             0.00020506
                     38,                0.05289,                0.97289,                      1,                0.93265,             0.00019092,             0.00019092,             0.00019092
                     39,                 0.0667,                0.98042,                      1,                0.92897,             0.00017679,             0.00017679,             0.00017679
                     40,                0.06211,                0.97741,                      1,                0.93047,             0.00016265,             0.00016265,             0.00016265
                     41,                0.04328,                 0.9759,                      1,                 0.9298,             0.00014851,             0.00014851,             0.00014851
                     42,                 0.0552,                0.97892,                      1,                0.92798,             0.00013437,             0.00013437,             0.00013437
                     43,                0.05024,                0.97741,                      1,                0.92984,             0.00012024,             0.00012024,             0.00012024
                     44,                0.05017,                 0.9759,                      1,                0.92895,              0.0001061,              0.0001061,              0.0001061
                     45,                0.04091,                 0.9759,                      1,                0.92972,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.03705,                0.97741,                      1,                   0.93,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.04144,                0.97741,                      1,                0.92848,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.03254,                0.97741,                      1,                0.92761,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.04393,                0.97741,                      1,                0.92726,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.05181,                0.97741,                      1,                0.92769,             2.1277e-05,             2.1277e-05,             2.1277e-05
